station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ZSSS,2020-10-20 17:30,121.3363,31.1979,64.40,57.20,77.45,360.00,3.89,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSSS 201730Z 36002MPS CAVOK 18/14 Q1020 NOSIG
ZSPD,2020-10-20 17:30,121.7667,31.1167,64.40,59.00,82.62,350.00,3.89,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSPD 201730Z 35002MPS CAVOK 18/15 Q1020 NOSIG
ZWWW,2020-10-20 17:30,87.4742,43.9071,46.40,23.00,39.36,140.00,1.94,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZWWW 201730Z 14001MPS CAVOK 08/M05 Q1021 NOSIG
ZBAD,2020-10-20 17:30,116.4106,39.5092,51.80,46.40,81.74,60.00,3.89,0.00,30.00,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAD 201730Z 06002MPS 020V130 3500 BR NSC 11/08 Q1016 NOSIG
ZMUB,2020-10-20 18:00,106.7666,47.8431,8.60,3.20,78.18,M,1.94,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZMUB 201800Z VRB01MPS CAVOK M13/M16 Q1018 NOSIG RMK QFE655.9 76
ZGHA,2020-10-20 18:00,112.8667,28.2333,59.00,57.20,93.74,350.00,7.78,0.00,30.21,M,3.11,M,FEW,M,M,M,1200.00,M,M,M,-RA BR,M,M,M,M,M,M,M,ZGHA 201800Z 35004MPS 5000 -RA BR FEW012 15/14 Q1023 NOSIG
ZBYN,2020-10-20 18:00,112.5500,37.7833,48.20,19.40,31.57,310.00,7.78,0.00,30.15,M,4.35,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.17,ZBYN 201800Z 31004MPS 7000 NSC 09/M07 Q1021 NOSIG
ZGGG,2020-10-20 18:00,113.3008,23.3964,68.00,57.20,68.35,330.00,7.78,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGGG 201800Z 33004MPS 310V010 CAVOK 20/14 Q1016 NOSIG
ZGKL,2020-10-20 18:00,110.3000,25.3333,62.60,57.20,82.50,M,1.94,0.00,30.18,M,6.21,M,SCT,OVC,M,M,3300.00,4600.00,M,M,M,M,M,M,M,M,M,M,ZGKL 201800Z VRB01MPS 9999 SCT033 OVC046 17/14 Q1022 NOSIG
ZGOW,2020-10-20 18:00,116.6833,23.4000,73.40,60.80,64.69,360.00,7.78,0.00,29.91,M,6.21,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,ZGOW 201800Z 36004MPS 9999 FEW050 23/16 Q1013 NOSIG
ZHHH,2020-10-20 18:00,114.1300,30.6200,59.00,55.40,87.83,270.00,7.78,0.00,30.18,M,3.73,M,NSC,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,M,ZHHH 201800Z 27004MPS 230V300 6000 -RA NSC 15/13 Q1022 NOSIG
ZJHK,2020-10-20 18:00,110.4590,19.9349,73.40,71.60,94.10,20.00,5.83,0.00,29.94,M,6.21,M,SCT,SCT,M,M,2000.00,4600.00,M,M,-RA,M,M,M,M,M,M,M,ZJHK 201800Z 02003MPS 9999 -RA SCT020 SCT046 23/22 Q1014 NOSIG
ZJSY,2020-10-20 18:00,109.4123,18.3029,75.20,68.00,78.34,M,1.94,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZJSY 201800Z VRB01MPS CAVOK 24/20 Q1012 NOSIG
ZUGY,2020-10-20 18:00,106.7333,26.5833,50.00,48.20,93.50,20.00,3.89,0.00,30.33,M,4.97,M,SCT,BKN,OVC,M,800.00,1600.00,3300.00,M,-RA,M,M,M,M,M,M,M,ZUGY 201800Z 02002MPS 8000 -RA SCT008 BKN016 OVC033 10/09 Q1027 NOSIG
ZGSZ,2020-10-20 18:00,114.1000,22.5500,71.60,57.20,60.44,20.00,11.66,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGSZ 201800Z 02006MPS CAVOK 22/14 Q1015 NOSIG
ZHCC,2020-10-20 18:00,113.6500,34.7167,57.20,51.80,82.12,220.00,3.89,0.00,30.09,M,1.86,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZHCC 201800Z 22002MPS 180V260 3000 BR NSC 14/11 Q1019 NOSIG
ZGNN,2020-10-20 18:00,108.2167,22.6333,64.40,55.40,72.56,350.00,5.83,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGNN 201800Z 35003MPS 310V020 CAVOK 18/13 Q1020 NOSIG
ZBAA,2020-10-20 18:00,116.5870,40.0741,53.60,41.00,62.23,350.00,5.83,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBAA 201800Z 35003MPS CAVOK 12/05 Q1016 NOSIG
ZBHH,2020-10-20 18:00,111.6833,40.8167,32.00,12.20,43.34,320.00,7.78,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.26,ZBHH 201800Z 32004MPS 290V360 CAVOK 00/M11 Q1024 NOSIG
ZBSJ,2020-10-20 18:00,114.6973,38.2807,51.80,46.40,81.74,310.00,5.83,0.00,30.00,M,1.68,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBSJ 201800Z 31003MPS 250V340 2700 BR NSC 11/08 Q1016 NOSIG
ZBTJ,2020-10-20 18:00,117.3462,39.1243,59.00,44.60,58.77,220.00,3.89,0.00,30.00,M,2.49,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBTJ 201800Z 22002MPS 180V260 4000 HZ NSC 15/07 Q1016 NOSIG
ZYTL,2020-10-20 18:00,121.6333,38.9000,62.60,51.80,67.75,200.00,7.78,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTL 201800Z 20004MPS 130V240 CAVOK 17/11 Q1018 NOSIG
ZYTX,2020-10-20 18:00,123.4000,41.8000,60.80,41.00,48.00,180.00,9.72,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTX 201800Z 18005MPS CAVOK 16/05 Q1016 NOSIG
ZLLL,2020-10-20 18:00,103.7500,36.0200,35.60,15.80,43.95,320.00,5.83,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.99,ZLLL 201800Z 32003MPS CAVOK 02/M09 Q1029 NOSIG
ZLXY,2020-10-20 18:00,108.7516,34.4471,48.20,46.40,93.45,230.00,1.94,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZLXY 201800Z 23001MPS CAVOK 09/08 Q1024 NOSIG
ZSAM,2020-10-20 18:00,118.0833,24.4833,75.20,60.80,60.90,10.00,3.89,0.00,29.94,M,6.21,M,BKN,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,M,ZSAM 201800Z 01002MPS 9999 BKN040 24/16 Q1014 NOSIG
ZPPP,2020-10-20 18:00,102.6833,25.0167,46.40,46.40,100.00,40.00,13.61,0.00,30.39,M,3.11,M,SCT,SCT,OVC,M,300.00,1600.00,3000.00,M,-RA BR,M,M,M,M,M,M,39.84,ZPPP 201800Z 04007MPS 5000 -RA BR SCT003 SCT016 OVC030 08/08 Q1029 NOSIG
ZSFZ,2020-10-20 18:00,119.2833,26.0833,71.60,57.20,60.44,350.00,5.83,0.00,29.97,M,6.21,M,BKN,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,ZSFZ 201800Z 35003MPS 320V020 9999 BKN030 22/14 Q1015 NOSIG
ZSHC,2020-10-20 18:00,120.1667,30.2333,62.60,59.00,88.00,260.00,3.89,0.00,30.09,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSHC 201800Z 26002MPS 8000 NSC 17/15 Q1019 NOSIG
ZSNB,2020-10-20 18:00,121.4619,29.8267,62.60,59.00,88.00,180.00,1.94,0.00,30.09,M,6.21,M,SCT,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,ZSNB 201800Z 18001MPS 9999 SCT030 17/15 Q1019 NOSIG
ZSOF,2020-10-20 18:00,117.2984,31.7800,59.00,53.60,82.25,M,1.94,0.00,30.12,M,4.35,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSOF 201800Z VRB01MPS 7000 NSC 15/12 Q1020 NOSIG
ZSQD,2020-10-20 18:00,120.3333,36.0667,62.60,53.60,72.38,170.00,5.83,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSQD 201800Z 17003MPS CAVOK 17/12 Q1019 NOSIG
ZSSS,2020-10-20 18:00,121.3363,31.1979,64.40,57.20,77.45,360.00,3.89,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSSS 201800Z 36002MPS CAVOK 18/14 Q1020 NOSIG
ZUCK,2020-10-20 18:00,106.4800,29.5200,57.20,55.40,93.69,270.00,3.89,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZUCK 201800Z 27002MPS 220V310 CAVOK 14/13 Q1027 NOSIG
ZSNJ,2020-10-20 18:00,118.8667,31.7333,60.80,60.80,100.00,M,1.94,0.00,30.12,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSNJ 201800Z VRB01MPS 6000 NSC 16/16 Q1020 NOSIG
ZSPD,2020-10-20 18:00,121.7667,31.1167,64.40,60.80,88.09,340.00,5.83,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSPD 201800Z 34003MPS CAVOK 18/16 Q1020 NOSIG
ZUUU,2020-10-20 18:00,104.0167,30.6667,55.40,53.60,93.65,160.00,3.89,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZUUU 201800Z 16002MPS 040V190 CAVOK 13/12 Q1027 NOSIG
ZWWW,2020-10-20 18:00,87.4742,43.9071,46.40,26.60,45.73,150.00,3.89,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.33,ZWWW 201800Z 15002MPS CAVOK 08/M03 Q1021 NOSIG
ZYCC,2020-10-20 18:00,125.2167,43.9000,57.20,39.20,50.91,200.00,15.55,0.00,29.91,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYCC 201800Z 20008MPS 6000 NSC 14/04 Q1013 NOSIG
ZYHB,2020-10-20 18:00,126.5800,46.0200,57.20,44.60,62.69,190.00,13.61,0.00,29.83,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYHB 201800Z 19007MPS 6000 NSC 14/07 Q1010 NOSIG
ZWSH,2020-10-20 18:00,75.9833,39.4667,50.00,17.60,27.33,320.00,9.72,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,ZWSH 201800Z AUTO 32005MPS 9999 // ////// 10/M08 Q1025
ZBAD,2020-10-20 18:00,116.4106,39.5092,51.80,46.40,81.74,120.00,1.94,0.00,30.00,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAD 201800Z 12001MPS 3500 BR NSC 11/08 Q1016 NOSIG
ZMUB,2020-10-20 18:30,106.7666,47.8431,5.00,1.40,84.68,150.00,3.89,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-3.91,ZMUB 201830Z 15002MPS CAVOK M15/M17 Q1018 NOSIG RMK QFE655.9 78
ZBYN,2020-10-20 18:30,112.5500,37.7833,51.80,8.60,17.20,300.00,9.72,0.00,30.15,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBYN 201830Z 30005MPS 8000 NSC 11/M13 Q1021 NOSIG
ZGGG,2020-10-20 18:30,113.3008,23.3964,68.00,57.20,68.35,350.00,7.78,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGGG 201830Z 35004MPS CAVOK 20/14 Q1016 NOSIG
ZBAA,2020-10-20 18:30,116.5870,40.0741,57.20,32.00,38.26,300.00,9.72,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBAA 201830Z 30005MPS CAVOK 14/M00 Q1016 NOSIG
ZBTJ,2020-10-20 18:30,117.3462,39.1243,59.00,44.60,58.77,M,1.94,0.00,30.00,M,2.49,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBTJ 201830Z VRB01MPS 4000 HZ NSC 15/07 Q1016 NOSIG
ZYTL,2020-10-20 18:30,121.6333,38.9000,62.60,51.80,67.75,190.00,7.78,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTL 201830Z 19004MPS 150V260 CAVOK 17/11 Q1018 NOSIG
ZYTX,2020-10-20 18:30,123.4000,41.8000,59.00,42.80,54.86,170.00,5.83,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTX 201830Z 17003MPS CAVOK 15/06 Q1016 NOSIG
ZSHC,2020-10-20 18:30,120.1667,30.2333,62.60,57.20,82.50,270.00,3.89,0.00,30.09,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSHC 201830Z 27002MPS 8000 NSC 17/14 Q1019 NOSIG
ZSSS,2020-10-20 18:30,121.3363,31.1979,64.40,59.00,82.62,350.00,3.89,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSSS 201830Z 35002MPS CAVOK 18/15 Q1020 NOSIG
ZSPD,2020-10-20 18:30,121.7667,31.1167,64.40,60.80,88.09,340.00,5.83,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSPD 201830Z 34003MPS CAVOK 18/16 Q1019 NOSIG
ZWWW,2020-10-20 18:30,87.4742,43.9071,44.60,24.80,45.44,160.00,3.89,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.23,ZWWW 201830Z 16002MPS CAVOK 07/M04 Q1021 NOSIG
ZBAD,2020-10-20 18:30,116.4106,39.5092,48.20,44.60,87.28,M,1.94,0.00,30.00,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAD 201830Z VRB01MPS 3500 BR NSC 09/07 Q1016 NOSIG
ZGHA,2020-10-20 19:00,112.8667,28.2333,57.20,55.40,93.69,330.00,11.66,0.00,30.21,M,1.86,M,BKN,M,M,M,700.00,M,M,M,-RA BR,M,M,M,M,M,M,M,ZGHA 201900Z 33006MPS 3000 -RA BR BKN007 14/13 Q1023 NOSIG
ZBYN,2020-10-20 19:00,112.5500,37.7833,48.20,10.40,21.31,320.00,9.72,0.00,30.15,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.38,ZBYN 201900Z 32005MPS 8000 NSC 09/M12 Q1021 NOSIG
ZGGG,2020-10-20 19:00,113.3008,23.3964,68.00,57.20,68.35,340.00,7.78,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGGG 201900Z 34004MPS CAVOK 20/14 Q1016 NOSIG
ZGKL,2020-10-20 19:00,110.3000,25.3333,62.60,55.40,77.29,350.00,3.89,0.00,30.15,M,6.21,M,SCT,OVC,M,M,3300.00,4600.00,M,M,M,M,M,M,M,M,M,M,ZGKL 201900Z 35002MPS 9999 SCT033 OVC046 17/13 Q1021 NOSIG
ZGOW,2020-10-20 19:00,116.6833,23.4000,71.60,60.80,68.75,360.00,5.83,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGOW 201900Z 36003MPS 320V020 CAVOK 22/16 Q1013 NOSIG
ZHHH,2020-10-20 19:00,114.1300,30.6200,60.80,53.60,77.14,270.00,5.83,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZHHH 201900Z 27003MPS 230V320 CAVOK 16/12 Q1022 NOSIG
ZJHK,2020-10-20 19:00,110.4590,19.9349,75.20,69.80,83.32,30.00,9.72,0.00,29.94,M,6.21,M,SCT,SCT,M,M,2000.00,4000.00,M,M,M,M,M,M,M,M,M,M,ZJHK 201900Z 03005MPS 9999 SCT020 SCT040 24/21 Q1014 NOSIG
ZJSY,2020-10-20 19:00,109.4123,18.3029,73.40,69.80,88.51,M,1.94,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZJSY 201900Z VRB01MPS CAVOK 23/21 Q1012 NOSIG
ZUGY,2020-10-20 19:00,106.7333,26.5833,51.80,48.20,87.47,10.00,3.89,0.00,30.33,M,4.97,M,FEW,BKN,OVC,M,700.00,2000.00,3300.00,M,M,M,M,M,M,M,M,M,ZUGY 201900Z 01002MPS 8000 FEW007 BKN020 OVC033 11/09 Q1027 NOSIG
ZGSZ,2020-10-20 19:00,114.1000,22.5500,71.60,57.20,60.44,10.00,11.66,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGSZ 201900Z 01006MPS CAVOK 22/14 Q1015 NOSIG
ZHCC,2020-10-20 19:00,113.6500,34.7167,57.20,51.80,82.12,220.00,3.89,0.00,30.09,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZHCC 201900Z 22002MPS 180V260 3500 BR NSC 14/11 Q1019 NOSIG
ZGNN,2020-10-20 19:00,108.2167,22.6333,64.40,55.40,72.56,10.00,3.89,0.00,30.12,M,6.21,M,SCT,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,M,ZGNN 201900Z 01002MPS 320V050 9999 SCT033 18/13 Q1020 NOSIG
ZBAA,2020-10-20 19:00,116.5870,40.0741,57.20,17.60,20.99,300.00,11.66,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBAA 201900Z 30006MPS CAVOK 14/M08 Q1016 NOSIG
ZBHH,2020-10-20 19:00,111.6833,40.8167,30.20,14.00,50.47,0.00,0.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBHH 201900Z 00000MPS CAVOK M01/M10 Q1024 NOSIG
ZBSJ,2020-10-20 19:00,114.6973,38.2807,53.60,42.80,66.70,320.00,7.78,0.00,30.00,M,2.49,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBSJ 201900Z 32004MPS 4000 HZ NSC 12/06 Q1016 NOSIG
ZBTJ,2020-10-20 19:00,117.3462,39.1243,59.00,44.60,58.77,230.00,3.89,0.00,29.97,M,2.49,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBTJ 201900Z 23002MPS 4000 HZ NSC 15/07 Q1015 NOSIG
ZYTL,2020-10-20 19:00,121.6333,38.9000,62.60,51.80,67.75,190.00,9.72,0.00,30.06,M,6.21,M,FEW,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,M,ZYTL 201900Z 19005MPS 160V230 9999 FEW026 17/11 Q1018 NOSIG
ZYTX,2020-10-20 19:00,123.4000,41.8000,59.00,42.80,54.86,170.00,5.83,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTX 201900Z 17003MPS CAVOK 15/06 Q1015 NOSIG
ZLLL,2020-10-20 19:00,103.7500,36.0200,33.80,15.80,47.22,330.00,3.89,0.00,30.36,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.65,ZLLL 201900Z 33002MPS 8000 NSC 01/M09 Q1028 NOSIG
ZLXY,2020-10-20 19:00,108.7516,34.4471,46.40,44.60,93.40,230.00,1.94,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZLXY 201900Z 23001MPS CAVOK 08/07 Q1024 NOSIG
ZSAM,2020-10-20 19:00,118.0833,24.4833,75.20,60.80,60.90,20.00,3.89,0.00,29.91,M,6.21,M,BKN,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,M,ZSAM 201900Z 02002MPS 9999 BKN033 24/16 Q1013 NOSIG
ZPPP,2020-10-20 19:00,102.6833,25.0167,44.60,44.60,100.00,40.00,13.61,0.00,30.39,M,4.35,M,SCT,SCT,OVC,M,300.00,1600.00,3000.00,M,-RA,M,M,M,M,M,M,37.52,ZPPP 201900Z 04007MPS 7000 -RA SCT003 SCT016 OVC030 07/07 Q1029 NOSIG
ZSFZ,2020-10-20 19:00,119.2833,26.0833,71.60,57.20,60.44,10.00,5.83,0.00,29.97,M,6.21,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,M,ZSFZ 201900Z 01003MPS 340V040 9999 BKN027 22/14 Q1015 NOSIG
ZSHC,2020-10-20 19:00,120.1667,30.2333,62.60,57.20,82.50,240.00,1.94,0.00,30.09,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSHC 201900Z 24001MPS 6000 NSC 17/14 Q1019 NOSIG
ZSNB,2020-10-20 19:00,121.4619,29.8267,60.80,59.00,93.79,M,1.94,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSNB 201900Z VRB01MPS CAVOK 16/15 Q1019 NOSIG
ZSOF,2020-10-20 19:00,117.2984,31.7800,59.00,53.60,82.25,M,1.94,0.00,30.12,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSOF 201900Z VRB01MPS 6000 NSC 15/12 Q1020 NOSIG
ZSQD,2020-10-20 19:00,120.3333,36.0667,64.40,53.60,67.95,220.00,5.83,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSQD 201900Z 22003MPS CAVOK 18/12 Q1018 NOSIG
ZSSS,2020-10-20 19:00,121.3363,31.1979,64.40,57.20,77.45,360.00,5.83,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSSS 201900Z 36003MPS CAVOK 18/14 Q1019 NOSIG
ZUCK,2020-10-20 19:00,106.4800,29.5200,57.20,55.40,93.69,180.00,1.94,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZUCK 201900Z 18001MPS CAVOK 14/13 Q1027 NOSIG
ZSNJ,2020-10-20 19:00,118.8667,31.7333,60.80,60.80,100.00,330.00,1.94,0.00,30.09,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSNJ 201900Z 33001MPS 6000 NSC 16/16 Q1019 NOSIG
ZSPD,2020-10-20 19:00,121.7667,31.1167,62.60,60.80,93.83,330.00,5.83,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSPD 201900Z 33003MPS CAVOK 17/16 Q1019 NOSIG
ZUUU,2020-10-20 19:00,104.0167,30.6667,53.60,51.80,93.60,M,1.94,0.00,30.30,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZUUU 201900Z VRB01MPS CAVOK 12/11 Q1026 NOSIG
ZWWW,2020-10-20 19:00,87.4742,43.9071,44.60,24.80,45.44,160.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,40.81,ZWWW 201900Z 16003MPS CAVOK 07/M04 Q1021 NOSIG
ZYCC,2020-10-20 19:00,125.2167,43.9000,57.20,35.60,44.19,200.00,13.61,0.00,29.88,M,4.35,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYCC 201900Z 20007MPS 7000 NSC 14/02 Q1012 NOSIG
ZYHB,2020-10-20 19:00,126.5800,46.0200,57.20,44.60,62.69,190.00,13.61,0.00,29.80,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYHB 201900Z 19007MPS 6000 NSC 14/07 Q1009 NOSIG
ZWSH,2020-10-20 19:00,75.9833,39.4667,50.00,17.60,27.33,320.00,9.72,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,ZWSH 201900Z AUTO 32005MPS 9999 // ////// 10/M08 Q1025
ZBAD,2020-10-20 19:00,116.4106,39.5092,48.20,46.40,93.45,M,1.94,0.00,30.00,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAD 201900Z VRB01MPS 3500 BR NSC 09/08 Q1016 BECMG TL1940 34005MPS
ZMUB,2020-10-20 19:00,106.7666,47.8431,8.60,1.40,71.92,180.00,3.89,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.28,ZMUB 201900Z 18002MPS CAVOK M13/M17 Q1015 NOSIG RMK QFE655.6 76
ZMUB,2020-10-20 19:30,106.7666,47.8431,8.60,5.00,84.93,180.00,3.89,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.28,COR ZMUB 201930Z 18002MPS CAVOK M13/M15 Q1017 NOSIG RMK QFE655.5 76
ZBYN,2020-10-20 19:30,112.5500,37.7833,50.00,5.00,15.61,310.00,9.72,0.00,30.15,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBYN 201930Z 31005MPS 8000 NSC 10/M15 Q1021 NOSIG
ZGGG,2020-10-20 19:30,113.3008,23.3964,66.20,57.20,72.74,340.00,7.78,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGGG 201930Z 34004MPS CAVOK 19/14 Q1016 NOSIG
ZBAA,2020-10-20 19:30,116.5870,40.0741,57.20,15.80,19.42,290.00,13.61,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBAA 201930Z 29007MPS CAVOK 14/M09 Q1017 NOSIG
ZBTJ,2020-10-20 19:30,117.3462,39.1243,59.00,44.60,58.77,260.00,3.89,0.00,29.97,M,2.49,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBTJ 201930Z 26002MPS 4000 HZ NSC 15/07 Q1015 BECMG TL2100 32007MPS
ZYTL,2020-10-20 19:30,121.6333,38.9000,62.60,51.80,67.75,190.00,7.78,0.00,30.03,M,6.21,M,FEW,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,M,ZYTL 201930Z 19004MPS 150V220 9999 FEW026 17/11 Q1017 NOSIG
ZYTX,2020-10-20 19:30,123.4000,41.8000,59.00,44.60,58.77,180.00,5.83,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTX 201930Z 18003MPS CAVOK 15/07 Q1015 NOSIG
